ID,heading,sortid,path
404,Afro-American E,405.5,9/0060/A2541
405,Afro-American M,406.5,9/0060/A2542
406,Afro-American O,407.5,2/0061/A2543
407,Afro-American S,408.5,2/0061/A2544
408,Afro-American T,409.5,2/0061/A2575
409,Afro-Americans,410.5,sub
410,"Afro-Americans (Titles, etc.)",411.5,2/0062/A2549
411,Afro-Asia,412.5,2/0062/A2550
412,Afsah,413.5,2/0062/A2551
413,After,414.5,2/0062/A2552
414,Aftercare,415.5,2/0062/A2553
415,Aga,416.5,2/0062/A2554
416,Again,417.5,2/0062/A2555
417,Agaj,418.5,2/0063/A2556
418,Agar,419.5,2/0063/A2557
419,Agas,420.5,2/0063/A2558
420,Agat,421.5,2/0063/A2559
421,Age,422.5,2/0063/A2560
422,Age of ...,423.5,2/0063/A2561
423,Age of J,424.5,9/0064/A2564
424,Aged,425.5,sub
425,"Aged, deaf",426.5,2/0065/A2576
426,Agen,427.5,2/0065/A2577
427,Ageron,428.5,2/0065/A2578
428,Aggarwal,429.5,2/0065/A2579
429,Aggregation,430.5,2/0065/A2580
430,Aggrey,431.5,2/0065/A2581
431,Aging,432.5,2/0066/A2582
432,Aging and ...,433.5,2/0066/A2583
433,Aglio,434.5,2/0066/A2584
434,Agnew,435.5,2/0066/A2585
435,Agnon,436.5,2/0066/A2586
436,Agony,437.5,2/0066/A2587
437,Agoub,438.5,2/0066/A2588
438,Agranovskii,439.5,2/0067/A2591
439,Agrarni,440.5,2/0067/A2592
440,Agreables,441.5,2/0067/A2593
441,Agricola,442.5,2/0067/A2594
442,Agricultural,443.5,2/0067/A2595
443,Agricultural B,444.5,2/0067/A2596
444,Agricultural colonies,445.5,sub
445,Agricultural colonisation,446.5,9/0068/A2601
446,Agricultural credit,447.5,sub
447,"Agricultural credit (Titles, etc.)",448.5,9/0068/A2608
448,Agricultural E,449.5,9/0068/A2609
449,Agricultural F,450.5,9/0068/A2610
450,Agricultural I,451.5,9/0068/A2611
451,Agricultural laborers,452.5,sub
452,"Agricultural laborers, Afro-American",453.5,2/0069/A2618
453,Agricultural laws and legislation,454.5,sub
454,Agricultural laws and legislation (Greek law),455.5,2/0069/A2625
455,Agricultural P,456.5,2/0069/A2624
456,Agricultural R,457.5,2/0069/A2626
457,Agricultural S,458.5,2/0070/A2627
458,Agriculture,459.5,sub
459,"Agriculture, Cooperative",460.5,sub
460,"Agriculture, Folk-lore of",461.5,1/0076/A2687
461,Agriculture and State,462.5,sub
462,Agriculture and ...,463.5,2/0077/A2901
463,Agro,464.5,2/0077/A2903
464,Agudelo,465.5,2/0078/A2907
465,Aguilar,466.5,2/0078/A2908
466,Aguilles,467.5,2/0078/A2909
467,Agulhon,468.5,2/0078/A2910
468,Agy,469.5,2/0078/A2911
469,Aharonian,470.5,2/0078/A2912
470,Ahi,471.5,2/0078/A2913
471,Ahlberg,472.5,2/0079/A2914
472,Ahmad,473.5,2/0079/A2915
473,"Ahmad, K",474.5,2/0079/A2916
474,Ahmad Abd al-Akhir,475.5,2/0079/A2917
475,Ahmad Ali,476.5,2/0079/A2918
476,Ahmad H,477.5,2/0079/A2919
477,Ahmad ibn al-Amin,478.5,9/0080/A2920
478,Ahmad ibn Muhammad,479.5,9/0080/A2921
479,Ahmad Ibrahim,480.5,9/0080/A2922
480,Ahmad Qajar,481.5,9/0080/A2923
481,Ahmadi,482.5,9/0080/A2924
